04-14 15:18:08.823  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.839  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.839  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.855  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.858  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.872  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.876  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 4ms
04-14 15:18:08.888  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 12ms
04-14 15:18:08.889  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.905  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.906  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.922  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.925  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.938  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.941  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.955  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.958  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.972  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.975  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.988  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.990  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.005  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.008  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.022  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.025  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.039  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.042  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.055  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.056  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.072  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.073  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.088  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.091  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.105  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.108  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.122  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.123  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.138  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.141  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.155  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.159  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.172  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.173  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.188  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.189  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.205  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.208  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.222  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.223  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:09.239  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.241  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.255  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.258  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.272  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.273  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.288  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.289  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.305  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.307  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.322  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.323  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:09.338  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.341  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.355  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.356  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.372  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.373  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.388  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.389  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.405  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.408  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.422  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.424  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.438  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.439  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.455  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.457  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.472  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.474  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.488  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.489  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.505  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.506  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.521  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.524  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.538  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.539  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.555  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.558  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.571  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.575  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 4ms
04-14 15:18:09.588  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.592  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.605  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.606  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.621  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.622  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.638  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.642  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.655  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:09.657  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.671  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.672  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.688  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.690  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.705  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.706  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.721  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.724  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
